ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,Summary,Profile,Rec_People,Rec_Travel
215,보통,보통,매우 많다,꽤 정확,따르는 편,1,매우 둔감,꽤 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"일본,국내,중국&몽골","추움,상관없음,더움","도전과성장,미식,사람&관계","에어비엔비,콘도,민박",오전 10시 이후,300-400만원,"저는 여행 중 추운 날씨를 피하지 못한 경험이 최악이었어요, 그래서 이번에는 더운 기후를 피할 계획입니다. 이번 여행에서는 고유한 미식 체험을 꼭 하고 싶어요, 이는 사람들과의 관계를 통해 더욱 특별한 추억을 만들 수 있다고 생각합니다. 함께 여행을 가고 싶은 사람은 자유롭게 대화가 가능하고 즉흥적인 계획에도 잘 어울리는 사람입니다. 이번 여행에서 가장 기대하는 것은 일본의 문화와 사람들을 체험함으로써 성장을 이루는 것이고, 이는 제 삶에 새로운 도전과 관계를 통해 더 깊이 있는 성장을 가져오기를 바랍니다.","이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
216,꽤 민감,보통,적다,꽤 정확,보통,5,매우 민감,보통,국내,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"동남아,미국,그 외","상관없음,추움,습함","공연&경기관람,도전과성장,사람&관계","콘도,4-5성급호텔,게스트하우스",오전 9-10시,400만원 이상,"여행 중 최악의 경험은 아마도 사람들과의 불편한 소통이나 청결하지 않은 환경일 것입니다. 이번 여행에서 꼭 필요한 것은 경기를 관람할 기회와 적절히 계획된 일정입니다. 같이 여행하고 싶은 사람은 서로 이해할 수 있고, 시간 약속을 잘 지키며, 청결에 민감한 성격이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 공연과 경기를 관람하며 새로운 인연을 만들고, 스스로의 성장을 느끼는 것입니다. 이 여행이 제 삶에서 도전과 성장을 통해 긍정적인 변화를 일으키는 계기가 되었으면 합니다.","이 사용자는 미국 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
217,둔감,매우 수용적,매우 많다,매우 정확,보통,1,보통,꽤 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"국내,유럽,세계일주","건조함,상관없음,더움","미식,사람&관계,자연감상","콘도,3성이하 호텔,민박",오전 10시 이후,300-400만원,"저는 여행 중 최악의 경험으로 일정이 계획대로 진행되지 않을 때를 꼽을 수 있습니다. 그래서 이번 여행에서는 특히 계획대로 잘 진행되는 것이 가장 중요하고, 모든 랜드마크를 빠짐없이 보고 싶습니다. 함께 여행하고 싶은 사람은 말수가 적지 않고 시간 약속을 잘 지키는 사람으로, 여행 일정에 잘 협조해주기를 바라는 편입니다. 이번 여행에서 가장 기대하는 것은 새로운 사람들과의 만남이며, 이를 통해 좋은 관계를 쌓는 것입니다. 여행이 제 삶에 좋은 영향을 미쳐 새로운 인연과 소중한 추억을 만들어 주었으면 합니다.","이 사용자는 유럽 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
218,둔감,매우 완고,적다,보통,리드하는편,5,둔감,매우 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"미국,국내,일본","상관없음,건조함,더움","문화&역사체험,쇼핑,사람&관계","콘도,4-5성급호텔,민박",오전 8-9시,200-300만원,"저는 국내 여행을 선호하며, 특히 사람들과의 관계를 중시합니다. 여행 중 최악의 경험은 빡빡한 일정 때문에 예상치 못한 상황을 맞닥뜨릴 때입니다. 이번 여행에서 꼭 필요한 것은 철저한 일정 계획입니다. 같이 여행하고 싶은 사람은 저의 리더십에 잘 따라와 주고, 저와 함께 문화와 역사를 즐길 수 있는 사람입니다. 이번 여행에서 가장 기대하는 것은 새로운 문화와 역사를 체험하는 것이며, 이를 통해 제 삶에 새로운 의미와 사람들과의 깊은 관계를 발전시키고 싶습니다.","이 사용자는 국내 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 민박에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
219,꽤 민감,매우 수용적,매우 적다,보통,따르는 편,5,매우 민감,보통,해외,산,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"동남아,국내,미국","습함,상관없음,건조함","쇼핑,사람&관계,액티비티","게스트하우스,3성이하 호텔,4-5성급호텔",오전 10시 이후,400만원 이상,"저는 여행 중 습한 기후를 피하고 싶어서, 여행지가 저의 체력과 청결 민감도를 잘 맞춰주는 것이 중요하다고 생각합니다. 이번 여행에서는 정해진 계획을 따라 움직이는 것을 선호하지만, 가벼운 액티비티와 쇼핑을 통해 사람들과의 새로운 관계를 형성하는 것을 가장 기대하고 있어요. 그래서 말수가 적은 저를 이해하고 함께 일정에 따를 수 있는 사람과 동행하는 걸 선호하죠. 과거 여행에서 기상시간 때문에 계획이 미뤄져 스케줄이 뒤죽박죽 되었던 점을 최악의 경험으로 꼽을 수 있겠습니다. 이번 여행은 제 삶에 있어 새로운 사람들을 만나고 교류하면서 소중한 인연을 쌓는 의미 있는 시간이 되었으면 합니다.","이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
220,꽤 민감,매우 수용적,보통,꽤 정확,따르는 편,1,꽤 민감,꽤 여유있게,해외,산,즉흥 여행,무조건 다 봄,코골이 함,기다림,"그 외,중국&몽골,일본","상관없음,습함,쌀쌀함","문화&역사체험,기록,액티비티","에어비엔비,펜션,게스트하우스",오전 8-9시,300-400만원,"저는 이전 여행 중 예민한 체질 때문에 계획이 틀어졌던 경험이 최악이었어요. 그래서 이번 여행에서는 충분한 여유 시간이 무엇보다 중요합니다. 함께 여행하고 싶은 사람은 의견을 잘 수용하고 약속을 잘 지키는, 저와 비슷한 스타일이었으면 좋겠습니다. 이번 여행에서는 다양한 문화와 역사를 체험하고 새로운 기록을 남기는 것에 가장 기대하고 있습니다. 삶에 있어서는 이번 여행이 특별한 추억으로 남길 바라며, 제 일상에 소중한 의미를 더해주길 바랍니다.","이 사용자는 그 외 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
221,매우 민감,수용적,매우 많다,자주 늦음,보통,2,보통,매우 빡빡하게,국내,산,계획 여행,적당히 봄,코골이 안함,기다림,"유럽,그 외,중국&몽골","상관없음,더움,추움","휴식,미식,도전과성장","3성이하 호텔,콘도,상관없음",오전 9-10시,300-400만원,"저는 여행 중 가장 최악의 경험으로는 계획한 일정에 지각했을 때와 체력적인 한계를 느낀 순간들이 떠오릅니다. 그래서 이번 여행에서는 철저한 계획과 함께 적절한 휴식을 취할 수 있는 여유를 원합니다. 함께 여행할 사람은 대화를 많이 나눌 수 있고 다양한 의견을 조화롭게 수용할 수 있는 사람이라면 좋겠습니다. 이번 여행에서는 유럽을 탐방하며 미식을 경험하고 도전과 성장을 기대하고 있으며, 전체적으로 일상에서 벗어나 즐길 수 있는 휴식으로 의미 있는 시간을 보내고 싶습니다. 여행을 통해 새로운 경험을 쌓고, 삶에 활력을 더하는 시간으로 삼고자 합니다.","이 사용자는 그 외 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
222,보통,보통,매우 많다,자주 늦음,리드하는편,1,매우 둔감,매우 빡빡하게,국내,산,계획 여행,적당히 봄,코골이 함,기다림,"일본,유럽,동남아","추움,습함,건조함","휴식,액티비티,문화&역사체험","민박,3성이하 호텔,콘도",오전 10시 이후,200-300만원,"저는 추운 기후를 피하고 싶어하기 때문에 따뜻한 동남아 지역을 좋아하며, 이번 여행도 그 지역에서 휴식과 액티비티를 즐기고 싶습니다. 여행 중 최악의 경험은 빡빡한 일정 때문에 체력적으로 힘들었던 기억으로, 이를 최소화하기 위해 충분히 계획을 세웁니다. 이번 여행에 기대하는 것은 문화와 역사 체험을 통해 새로운 시각을 얻는 것이며, 아침에 일찍 일어나지 않는 여유로움을 기대합니다. 함께 여행할 사람은 말이 많고, 제가 리드할 수 있는 동적이면서도 유쾌한 성격을 가진 사람이면 좋겠어요. 이번 여행이 제 삶에 의미 있는 변화를 가져와 휴식과 리프레시의 기회를 제공하길 바랍니다.","이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
223,꽤 민감,매우 수용적,매우 많다,자주 늦음,무조건 리드,5,둔감,매우 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"유럽,중국&몽골,국내","습함,상관없음,쌀쌀함","공연&경기관람,쇼핑,액티비티","민박,게스트하우스,4-5성급호텔",오전 10시 이후,300-400만원,"저는 여행할 때 여유로운 일정을 선호하고, 계획을 세워 모든 랜드마크를 방문하며 풍부한 체험을 하는 것을 좋아합니다. 과거 여행에서 최악의 경험은 무더운 날씨가 갑자기 습해지는 상황이었고, 이번 여행에서는 그런 기후를 피하고 싶은 마음이 큽니다. 함께 여행할 사람으로는 대화를 많이 할 수 있고, 의견을 잘 수용해 주며 여유롭게 일정을 즐길 수 있는 사람을 원합니다. 또한, 공연이나 쇼핑 같은 액티비티를 통해 색다른 경험을 하는 것을 가장 기대하며, 이번 여행이 제 삶에 활력을 주고 새로운 시야를 넓히는 계기가 되길 바랍니다. 숙박은 4-5성급 호텔을 선호하며 예산도 이를 고려해 충분히 준비되어 있습니다.","이 사용자는 중국&몽골 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
224,보통,매우 완고,적다,종종 늦음,무조건 리드,3,매우 민감,꽤 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"세계일주,일본,중국&몽골","쌀쌀함,습함,상관없음","사람&관계,액티비티,도전과성장","3성이하 호텔,민박,4-5성급호텔",오전 9-10시,100만원 이하,"여행 중 최악의 경험은 아마도 청결 문제가 있는 숙소에서의 지내는 것이었습니다. 그래서 이번 여행에서는 깨끗한 숙소가 꼭 필요합니다. 함께 여행하고 싶은 사람은 리더십을 인정해주고, 저의 여유로운 일정 계획을 따를 수 있는 사람이면 좋겠습니다. 이번 여행에서는 새로운 도전과 성장을 통해 인간관계의 발전을 기대하고 있습니다. 이 여행이 나의 삶에는 중요한 도전과 성취감을 제공해 주길 바라며, 제한된 예산으로도 최대한 즐겁게 보내고 싶습니다.","이 사용자는 세계일주 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
225,보통,매우 수용적,많다,보통,따르는 편,2,매우 둔감,꽤 여유있게,국내,산,계획 여행,적당히 봄,코골이 함,기다림,"미국,중국&몽골,그 외","추움,더움,건조함","문화&역사체험,자연감상,쇼핑","펜션,민박,콘도",오전 8-9시,100만원 이하,"저는 여행 중 최악의 경험으로 불편한 날씨를 들 수 있는데, 특히 더운 기후를 피하고 싶어합니다. 이번 여행에서는 계획적으로 문화와 역사를 체험할 수 있는 일정이 반드시 포함되었으면 좋겠고, 이런 측면에서 중국이나 몽골 지역이 적합할 것 같습니다. 함께 여행하고 싶은 사람은 저와 비슷하게 의견을 잘 수용하고 대화를 많이 나눌 수 있는 사람일 것입니다. 저는 이번 여행을 통해 자연을 감상하고 쇼핑도 즐기며 마음의 여유를 찾고자 기대하고 있습니다. 이러한 경험이 제 삶에 새로운 의미를 부여하고 일상에서 벗어나 좀 더 여유로운 시간을 선사해 주었으면 합니다.","이 사용자는 중국&몽골 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
226,매우 민감,다소 완고,매우 적다,자주 늦음,무조건 따름,5,보통,꽤 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"국내,그 외,동남아","추움,건조함,습함","기록,액티비티,휴식","3성이하 호텔,콘도,펜션",오전 8-9시,200-300만원,저는 여행 중에 시간 약속을 지키기 어려워 종종 난처한 상황에 놓였던 경험이 최악으로 기억됩니다. 이번 여행에서는 기록을 남길 수 있는 도구가 꼭 필요합니다. 함께 여행할 사람은 제가 예민하고 완고한 성향을 이해해주고 바다 근처로 즉흥적으로 떠나는 여행을 즐길 수 있는 사람이라면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 액티비티와 함께하는 휴식입니다. 이 여행을 통해 일상에서의 스트레스를 줄이고 나만의 기록을 쌓아가는 의미 있는 시간이 되었으면 합니다.,"이 사용자는 그 외 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
227,매우 둔감,수용적,많다,자주 늦음,무조건 리드,1,보통,매우 빡빡하게,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"미국,중국&몽골,일본","추움,상관없음,습함","미식,쇼핑,자연감상","4-5성급호텔,3성이하 호텔,상관없음",오전 8-9시,400만원 이상,"여행에서 최악의 경험은 제한된 일정에도 불구하고 장소를 발견하지 못했을 때입니다. 이번 여행에서는 자연 감상을 위주로 미국의 장소를 차근차근 탐험하기 위해 체력이 필요한 만큼, 좋은 컨디션을 유지할 수 있는 편안한 호텔이 꼭 필요합니다. 함께 여행할 사람은 유연하면서도 의견을 잘 받아들이고 저와 비슷하게 계획보다는 즉흥적으로 즐길 수 있는 사람이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 다양한 미국의 자연을 감상하며 새로운 영감을 얻는 것입니다. 이러한 여행이 단순한 휴식 이상의 의미를 가져, 일상에서 벗어나 새로운 시각을 갖게 하는 좋은 기회가 되기를 바랍니다.","이 사용자는 미국 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
228,매우 둔감,수용적,보통,꽤 정확,무조건 리드,2,매우 민감,꽤 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"유럽,국내,세계일주","쌀쌀함,상관없음,건조함","공연&경기관람,문화&역사체험,쇼핑","게스트하우스,3성이하 호텔,에어비엔비",오전 9-10시,100만원 이하,"저는 여행 중에는 계획적으로 랜드마크를 돌아다니는 것을 좋아하지만, 일정 강도를 꽤 여유 있게 조절하려고 노력합니다. 최악의 경험은 날씨가 쌀쌀하거나 건조한 날씨 속에서 체력이 떨어져 어려움을 겪을 때입니다. 그래서 이번 여행에서는 공연이나 경기를 관람할 계획이고, 그 경험들이 기대됩니다. 가장 중요하게 생각하는 것은 청결한 숙소이며, 저와 비슷하게 합리적으로 의견을 잘 수용하고 정시에 맞춰 움직이는 사람이 함께하면 좋겠습니다. 이번 여행은 저에게 다양한 문화와 역사를 체험하고 일상에서 벗어나 리프레시하는 기회가 되기를 바랍니다.","이 사용자는 유럽 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
229,보통,매우 수용적,많다,보통,무조건 리드,2,둔감,매우 여유있게,해외,산,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"미국,그 외,국내","상관없음,건조함,추움","공연&경기관람,쇼핑,액티비티","민박,상관없음,4-5성급호텔",오전 10시 이후,100만원 이하,"저는 예전 여행 중에 바쁘고 빡빡한 일정이 최악이었던 기억이 있습니다. 그래서 이번 여행에서는 여유롭게 랜드마크를 둘러보고 싶고, 특히 공연이나 경기 관람 같은 액티비티가 꼭 포함되었으면 합니다. 함께 여행할 사람은 제 의견을 잘 받아들이고 대화가 많은 사람이라면 좋겠습니다. 이번 여행에서는 미국에서의 다양한 경험이 기대되며, 여행이 끝나고 나면 제 삶에 새로운 활력을 불어넣어 줄 의미 있는 시간이 되었으면 합니다. 무엇보다 오전 10시 이후 느긋하게 시작하는 일정이 중요합니다.","이 사용자는 미국 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
230,매우 둔감,매우 수용적,매우 많다,종종 늦음,따르는 편,4,매우 둔감,매우 여유있게,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"미국,세계일주,일본","더움,추움,쌀쌀함","도전과성장,액티비티,미식","4-5성급호텔,에어비엔비,민박",오전 9-10시,300-400만원,"저는 여행 중에 시간 약속에 종종 늦기도 하지만, 느긋하게 일정을 즐기는 스타일이라 큰 문제가 된 적은 없습니다. 가장 중요한 것은 항상 유연하게 계획을 세우면서 즐기는 것이고 좋은 음식과 새로운 경험이 이번 여행에서 꼭 있었으면 합니다. 함께 가고 싶은 사람은 제 수다를 잘 들어주고, 새로운 의견에 개방적인 사람이었으면 좋겠어요. 이번 여행에서는 도전과 성장을 경험하고 싶은데, 그래서 여러 랜드마크를 탐방하며 다양한 활동을 기대하고 있습니다. 이 여행이 저에게 새로운 시야와 활력을 주는 계기가 되어 삶에 긍정적인 변화를 가져다주었으면 합니다.","이 사용자는 미국 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 민박에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
231,보통,다소 완고,보통,종종 늦음,따르는 편,1,매우 둔감,보통,국내,산,즉흥 여행,적당히 봄,코골이 함,기다림,"동남아,미국,일본","쌀쌀함,추움,습함","휴식,문화&역사체험,자연감상","콘도,펜션,상관없음",오전 9-10시,100만원 이하,여행 중 가장 최악의 경험은 시간 약속을 지키지 못해 일정을 망치는 것입니다. 그래서 이번 여행에서는 느긋하게 쉬면서도 문화와 역사를 체험할 수 있는 일정은 꼭 포함되길 원합니다. 같이 여행을 가고 싶은 사람은 제가 좀 늦더라도 이해해주고 함께 즉흥적인 계획을 즐길 수 있는 사람입니다. 이번 여행에서는 자연과 문화를 감상하며 여유로운 시간을 보내는 것을 가장 기대하고 있습니다. 이 여행이 제게 일상에서 벗어나 스트레스를 풀고 새로운 시각을 얻는 의미 있는 시간이 되었으면 합니다.,"이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
232,꽤 민감,수용적,보통,꽤 정확,리드하는편,3,보통,꽤 빡빡하게,해외,바다,즉흥 여행,적당히 봄,코골이 함,기다림,"동남아,국내,세계일주","건조함,습함,쌀쌀함","쇼핑,사람&관계,기록","민박,에어비엔비,상관없음",오전 10시 이후,300-400만원,"여행 중 최악의 경험은 아마 건조하고 쌀쌀한 날씨에 부딪혔을 때일 것입니다. 그래서 이번 여행에서는 그런 기후를 피할 수 있는 동남아 지역의 따뜻한 바다를 꼭 방문하고 싶습니다. 함께 여행을 가고 싶은 사람은 수용적이면서도 리더십이 있는 사람으로, 저와 비슷하게 즉흥적인 여행 스타일을 즐길 수 있는 사람이었으면 합니다. 이번 여행에서 가장 기대하는 것은 새로운 사람들과의 관계 형성과 쇼핑의 즐거움입니다. 이번 여행을 통해 인생의 새로운 기록을 남기고, 나 자신에게 새로운 의미와 활력을 가져다줬으면 합니다.","이 사용자는 동남아 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
233,매우 민감,매우 수용적,매우 많다,보통,무조건 따름,5,매우 민감,꽤 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"그 외,국내,중국&몽골","더움,건조함,추움","문화&역사체험,사람&관계,쇼핑","에어비엔비,4-5성급호텔,민박",오전 9-10시,200-300만원,"저는 여행 중에 체력 소모가 심한 지치고 힘든 일정이 최악이라 생각해요, 그래서 여행의 여유를 중시합니다. 이번 여행에서는 문화와 역사 체험을 절대 놓치고 싶지 않아요. 함께 여행하고 싶은 사람은 소통이 잘 되고 다양한 의견을 수용할 수 있는 사람이며, 조용하고 청결에 신경 쓰는 성향이면 좋겠습니다. 이번 여행에서는 새로운 문화와 역사적 배경을 깊게 이해하고 인연을 쌓는 것을 가장 기대하고 있습니다. 이 여행이 저에게는 새로운 시각을 열어주고 삶의 방식을 재정립하는 계기가 되었으면 좋겠습니다.","이 사용자는 중국&몽골 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 에어비엔비에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
234,보통,매우 완고,보통,매우 정확,따르는 편,2,둔감,매우 여유있게,국내,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"그 외,유럽,동남아","습함,추움,쌀쌀함","액티비티,자연감상,휴식","게스트하우스,콘도,4-5성급호텔",오전 8-9시,400만원 이상,"여행 중 최악의 경험은 습하고 추운 기후를 만난 것이었고, 그래서 이번 여행에서는 쾌적한 기후가 필수적입니다. 함께 여행을 가고 싶은 사람은 자유롭고 즉흥적인 여행을 즐기면서도 서로의 개인 시간을 존중할 수 있는 사람입니다. 이번 여행에서 가장 기대하는 것은 바다를 감상하며 여유롭게 자연을 즐기는 것이며, 다양한 랜드마크를 방문하여 액티비티 즐기는 것입니다. 이 여행은 제 일상에서 잠시 벗어나 휴식을 취하고 새로운 경험을 통해 에너지를 얻을 기회입니다. 자율적이면서도 계획적인 여정을 통해 자신에게 의미 있는 변화를 얻고 싶습니다.","이 사용자는 그 외 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
235,꽤 민감,매우 완고,적다,매우 정확,리드하는편,1,매우 민감,꽤 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"미국,국내,세계일주","추움,건조함,상관없음","문화&역사체험,기록,쇼핑","게스트하우스,3성이하 호텔,콘도",오전 10시 이후,100만원 이하,"저는 여행 중에 체력이 약해서 빡빡한 일정이나 예기치 않은 상황이 최악의 경험으로 느껴질 수 있습니다. 이번 여행에서는 다른 무엇보다도 계획적인 일정과 시간을 지키는 것이 중요하다고 생각하므로, 느긋한 일정 속에서 의미 있는 문화와 역사 체험을 기록하고 싶습니다. 함께 여행하고 싶은 사람은 제가 리드할 수 있도록 믿어주고, 시간을 잘 맞추며 청결에 민감한 사람일 것입니다. 이번 여행을 통해 가장 기대하는 것은 국내의 아름다운 산을 돌아보며 쇼핑을 즐기고, 이러한 여행이 저의 일상에서 새로운 활력을 불어넣는 의미 있는 경험이 되길 바랍니다. 예산을 초과하지 않는 범위에서 여행하면서, 제가 계획한 모든 랜드마크를 볼 수 있는 기회를 갖고 싶습니다.","이 사용자는 국내 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
236,매우 민감,매우 수용적,많다,자주 늦음,따르는 편,3,보통,매우 여유있게,해외,바다,계획 여행,적당히 봄,코골이 안함,기다림,"동남아,일본,그 외","상관없음,건조함,습함","도전과성장,액티비티,문화&역사체험","게스트하우스,상관없음,민박",오전 10시 이후,300-400만원,"저는 여행 중 최악의 경험이 일정 지연이나 체력이 고갈되어 액티비티를 제대로 즐기지 못하는 상황이라고 생각합니다. 따라서 이번 여행에서 여유로운 일정과 충분한 휴식 시간이 꼭 필요합니다. 함께 여행하고 싶은 사람은 계획된 일정에 유연하고 열린 마음을 가진 사람이면 좋겠어요. 이번 여행에서 가장 기대하는 것은 동남아 또는 일본에서 문화와 역사를 체험하고 새로운 도전과 성장을 이루는 것입니다. 이 여행이 제 삶에 활력을 더하고, 새로운 시각을 열어줄 의미 있는 시간이 되기를 바랍니다.","이 사용자는 동남아 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
237,둔감,보통,보통,자주 늦음,리드하는편,1,매우 둔감,매우 여유있게,국내,산,즉흥 여행,적당히 봄,코골이 함,기다림,"유럽,일본,동남아","습함,상관없음,추움","사람&관계,문화&역사체험,쇼핑","콘도,3성이하 호텔,에어비엔비",오전 8-9시,200-300만원,"저는 여행 중 체력이 약해 산을 오르며 힘들었던 경험이 최악이었습니다. 이번 여행에서는 다양한 문화와 역사를 체험할 수 있는 기회를 꼭 가지고 싶어요. 함께 여행할 사람으로는 둔감하고 사람과의 관계가 중요한 저와 성향이 맞으며, 시간 약속에 여유롭고 즉흥적인 여행을 즐길 수 있는 사람들이 좋습니다. 여행에서 가장 기대하는 부분은 새로운 문화를 느끼고 사람들과의 관계를 쌓는 것입니다. 이번 여행이 제 인생에 있어 사람과 관계의 소중함을 다시금 느끼고, 문화적 경험을 쌓는 의미 깊은 시간이 되기를 바랍니다.","이 사용자는 유럽 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
238,보통,매우 수용적,매우 많다,매우 정확,따르는 편,1,꽤 민감,매우 빡빡하게,해외,산,계획 여행,무조건 다 봄,코골이 함,다른 곳 간다,"그 외,일본,세계일주","추움,더움,쌀쌀함","휴식,미식,쇼핑","에어비엔비,게스트하우스,펜션",오전 9-10시,200-300만원,"저는 여행 중에 시간 약속을 지키지 않아 계획에 차질이 생기는 것을 최악의 경험으로 꼽습니다. 그래서 이번 여행에서는 일정표와 같은 여행 계획을 철저히 준비할 것입니다. 같이 여행할 사람은 무엇보다 말이 잘 통하고 소통이 자유로운 사람을 선호하며, 의견을 잘 수용할 수 있는 유연한 태도를 가진 사람이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 새로운 곳에서의 미식을 즐기는 것이고, 이로 인해 일상에서 쌓인 피로를 풀고 삶의 활력을 되찾고 싶습니다. 여행이 다시 일상으로 돌아갔을 때 긍정적인 영향을 미쳐, 제 삶의 균형을 찾는 데 기여하길 바랍니다.","이 사용자는 그 외 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 에어비엔비에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
