user_id,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,profile,rec_ids
53,둔감,매우 완고,매우 많다,자주 늦음,무조건 리드,4,매우 민감,꽤 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"일본,미국,세계일주","더움,건조함,추움","도전과성장,휴식,기록","상관없음,민박,4-5성급호텔",오전 9-10시,300-400만원,"이 사용자는 미국 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
54,둔감,다소 완고,매우 적다,자주 늦음,리드하는편,5,매우 민감,꽤 빡빡하게,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"그 외,세계일주,동남아","더움,추움,상관없음","기록,도전과성장,쇼핑","민박,3성이하 호텔,4-5성급호텔",오전 8-9시,300-400만원,"이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
55,매우 민감,보통,매우 많다,꽤 정확,따르는 편,2,보통,꽤 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"국내,동남아,세계일주","건조함,습함,쌀쌀함","기록,자연감상,액티비티","에어비엔비,상관없음,4-5성급호텔",오전 8-9시,400만원 이상,"이 사용자는 동남아 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
56,매우 둔감,매우 수용적,적다,종종 늦음,따르는 편,5,꽤 민감,보통,해외,바다,계획 여행,적당히 봄,코골이 함,기다림,"유럽,동남아,중국&몽골","건조함,습함,쌀쌀함","휴식,사람&관계,자연감상","상관없음,에어비엔비,4-5성급호텔",오전 10시 이후,400만원 이상,"이 사용자는 유럽 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
57,매우 둔감,보통,매우 적다,종종 늦음,리드하는편,2,보통,꽤 빡빡하게,국내,바다,계획 여행,적당히 봄,코골이 함,기다림,"유럽,국내,동남아","추움,건조함,더움","자연감상,사람&관계,공연&경기관람","민박,게스트하우스,3성이하 호텔",오전 9-10시,100만원 이하,"이 사용자는 유럽 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 게스트하우스에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
58,꽤 민감,매우 완고,많다,종종 늦음,보통,2,보통,꽤 빡빡하게,국내,산,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"일본,국내,유럽","습함,더움,쌀쌀함","공연&경기관람,액티비티,자연감상","펜션,민박,콘도",오전 10시 이후,100만원 이하,"이 사용자는 유럽 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
59,매우 민감,매우 완고,매우 적다,매우 정확,따르는 편,1,매우 둔감,보통,국내,산,계획 여행,적당히 봄,코골이 안함,기다림,"미국,일본,중국&몽골","쌀쌀함,습함,더움","공연&경기관람,기록,도전과성장","에어비엔비,콘도,3성이하 호텔",오전 8-9시,100만원 이하,"이 사용자는 미국 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
60,보통,다소 완고,매우 많다,매우 정확,리드하는편,1,둔감,보통,해외,산,즉흥 여행,적당히 봄,코골이 안함,기다림,"일본,미국,유럽","습함,쌀쌀함,상관없음","공연&경기관람,휴식,문화&역사체험","상관없음,3성이하 호텔,민박",오전 10시 이후,200-300만원,"이 사용자는 일본 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
61,매우 둔감,보통,매우 적다,매우 정확,무조건 따름,2,매우 민감,매우 빡빡하게,국내,산,계획 여행,무조건 다 봄,코골이 함,기다림,"미국,그 외,동남아","건조함,더움,추움","휴식,액티비티,도전과성장","콘도,민박,게스트하우스",오전 10시 이후,300-400만원,"이 사용자는 그 외 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
62,꽤 민감,보통,매우 많다,종종 늦음,따르는 편,3,꽤 민감,매우 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"그 외,국내,일본","상관없음,쌀쌀함,더움","자연감상,공연&경기관람,사람&관계","콘도,게스트하우스,4-5성급호텔",오전 9-10시,400만원 이상,"이 사용자는 그 외 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 게스트하우스에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
63,매우 민감,다소 완고,매우 많다,종종 늦음,보통,1,둔감,매우 여유있게,해외,산,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"중국&몽골,그 외,동남아","더움,건조함,상관없음","액티비티,기록,사람&관계","민박,펜션,콘도",오전 10시 이후,300-400만원,"이 사용자는 동남아 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
64,보통,보통,매우 많다,꽤 정확,보통,4,둔감,꽤 빡빡하게,국내,산,계획 여행,무조건 다 봄,코골이 함,다른 곳 간다,"중국&몽골,유럽,미국","추움,더움,상관없음","문화&역사체험,기록,쇼핑","4-5성급호텔,콘도,게스트하우스",오전 9-10시,100만원 이하,"이 사용자는 미국 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 게스트하우스에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
65,보통,보통,매우 많다,종종 늦음,무조건 따름,3,매우 둔감,보통,해외,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"일본,국내,유럽","쌀쌀함,더움,건조함","자연감상,기록,쇼핑","콘도,4-5성급호텔,에어비엔비",오전 9-10시,400만원 이상,"이 사용자는 일본 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
66,보통,매우 수용적,보통,꽤 정확,무조건 리드,5,둔감,보통,해외,산,계획 여행,무조건 다 봄,코골이 함,기다림,"국내,그 외,일본","추움,쌀쌀함,건조함","공연&경기관람,휴식,자연감상","상관없음,민박,3성이하 호텔",오전 10시 이후,100만원 이하,"이 사용자는 국내 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
67,매우 민감,매우 수용적,많다,보통,무조건 따름,4,매우 둔감,매우 여유있게,국내,산,즉흥 여행,적당히 봄,코골이 함,기다림,"동남아,세계일주,국내","습함,추움,쌀쌀함","공연&경기관람,휴식,쇼핑","에어비엔비,민박,4-5성급호텔",오전 8-9시,200-300만원,"이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
68,매우 둔감,매우 완고,매우 적다,종종 늦음,무조건 리드,1,보통,매우 빡빡하게,해외,바다,즉흥 여행,무조건 다 봄,코골이 함,기다림,"세계일주,그 외,미국","더움,추움,상관없음","미식,자연감상,공연&경기관람","에어비엔비,상관없음,4-5성급호텔",오전 10시 이후,200-300만원,"이 사용자는 미국 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
69,꽤 민감,다소 완고,매우 적다,꽤 정확,무조건 따름,5,매우 민감,보통,국내,바다,즉흥 여행,무조건 다 봄,코골이 함,기다림,"일본,그 외,유럽","상관없음,건조함,습함","도전과성장,액티비티,쇼핑","에어비엔비,펜션,3성이하 호텔",오전 9-10시,200-300만원,"이 사용자는 일본 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 에어비엔비에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
70,꽤 민감,보통,보통,자주 늦음,보통,2,둔감,꽤 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"유럽,그 외,세계일주","더움,쌀쌀함,추움","액티비티,자연감상,사람&관계","민박,게스트하우스,4-5성급호텔",오전 9-10시,100만원 이하,"이 사용자는 그 외 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
71,보통,보통,매우 많다,보통,무조건 따름,2,매우 민감,꽤 빡빡하게,해외,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,그 외,미국","더움,상관없음,습함","사람&관계,미식,문화&역사체험","상관없음,게스트하우스,에어비엔비",오전 10시 이후,200-300만원,"이 사용자는 미국 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
72,매우 둔감,보통,적다,보통,따르는 편,5,둔감,매우 빡빡하게,국내,산,계획 여행,적당히 봄,코골이 안함,기다림,"유럽,중국&몽골,국내","건조함,더움,추움","휴식,자연감상,도전과성장","상관없음,3성이하 호텔,게스트하우스",오전 9-10시,200-300만원,"이 사용자는 유럽 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
73,둔감,보통,매우 많다,보통,리드하는편,1,꽤 민감,꽤 여유있게,국내,산,계획 여행,적당히 봄,코골이 함,기다림,"국내,중국&몽골,세계일주","더움,쌀쌀함,상관없음","휴식,미식,기록","콘도,펜션,게스트하우스",오전 8-9시,400만원 이상,"이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
74,둔감,다소 완고,매우 적다,자주 늦음,따르는 편,3,매우 민감,꽤 빡빡하게,국내,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"미국,중국&몽골,동남아","습함,쌀쌀함,더움","미식,문화&역사체험,휴식","에어비엔비,콘도,펜션",오전 9-10시,200-300만원,"이 사용자는 미국 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 에어비엔비에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
75,매우 둔감,매우 수용적,보통,꽤 정확,리드하는편,4,보통,매우 빡빡하게,해외,바다,계획 여행,무조건 다 봄,코골이 함,다른 곳 간다,"국내,세계일주,중국&몽골","추움,건조함,쌀쌀함","액티비티,공연&경기관람,도전과성장","민박,3성이하 호텔,4-5성급호텔",오전 9-10시,300-400만원,"이 사용자는 국내 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
76,보통,매우 완고,적다,매우 정확,무조건 리드,4,매우 민감,매우 여유있게,국내,산,즉흥 여행,적당히 봄,코골이 함,기다림,"중국&몽골,미국,그 외","상관없음,추움,습함","휴식,기록,공연&경기관람","상관없음,콘도,에어비엔비",오전 8-9시,300-400만원,"이 사용자는 미국 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
77,꽤 민감,매우 완고,많다,보통,보통,2,매우 둔감,꽤 여유있게,국내,산,계획 여행,적당히 봄,코골이 함,기다림,"중국&몽골,일본,유럽","습함,건조함,더움","공연&경기관람,액티비티,기록","상관없음,민박,펜션",오전 10시 이후,100만원 이하,"이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 펜션에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
78,매우 둔감,매우 수용적,보통,자주 늦음,리드하는편,5,꽤 민감,보통,국내,바다,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"세계일주,그 외,일본","더움,상관없음,습함","도전과성장,휴식,문화&역사체험","3성이하 호텔,게스트하우스,4-5성급호텔",오전 10시 이후,100만원 이하,"이 사용자는 그 외 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
79,매우 민감,매우 수용적,매우 적다,종종 늦음,따르는 편,4,둔감,꽤 여유있게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"동남아,일본,중국&몽골","쌀쌀함,건조함,더움","쇼핑,액티비티,자연감상","펜션,상관없음,4-5성급호텔",오전 9-10시,100만원 이하,"이 사용자는 일본 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 상관없음에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
80,둔감,보통,매우 많다,보통,리드하는편,2,매우 둔감,꽤 여유있게,국내,산,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"국내,일본,중국&몽골","상관없음,더움,건조함","문화&역사체험,기록,공연&경기관람","펜션,콘도,게스트하우스",오전 10시 이후,400만원 이상,"이 사용자는 중국&몽골 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
81,보통,매우 완고,적다,매우 정확,따르는 편,3,매우 둔감,매우 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"중국&몽골,미국,동남아","습함,건조함,더움","문화&역사체험,도전과성장,사람&관계","에어비엔비,4-5성급호텔,민박",오전 10시 이후,100만원 이하,"이 사용자는 중국&몽골 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
82,둔감,보통,적다,종종 늦음,리드하는편,4,매우 민감,꽤 빡빡하게,해외,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"유럽,세계일주,동남아","추움,건조함,더움","미식,사람&관계,휴식","상관없음,게스트하우스,민박",오전 8-9시,400만원 이상,"이 사용자는 유럽 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
83,꽤 민감,매우 완고,많다,꽤 정확,보통,2,매우 민감,매우 빡빡하게,해외,산,계획 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,세계일주,그 외","건조함,쌀쌀함,상관없음","문화&역사체험,액티비티,공연&경기관람","콘도,상관없음,4-5성급호텔",오전 8-9시,400만원 이상,"이 사용자는 그 외 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
84,보통,다소 완고,매우 많다,매우 정확,보통,4,보통,꽤 빡빡하게,국내,산,즉흥 여행,적당히 봄,코골이 함,기다림,"중국&몽골,미국,동남아","건조함,상관없음,추움","도전과성장,사람&관계,기록","3성이하 호텔,펜션,상관없음",오전 10시 이후,300-400만원,"이 사용자는 중국&몽골 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 펜션에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
85,매우 둔감,수용적,매우 적다,종종 늦음,따르는 편,4,매우 둔감,보통,해외,산,계획 여행,무조건 다 봄,코골이 함,기다림,"일본,그 외,동남아","더움,상관없음,쌀쌀함","기록,휴식,문화&역사체험","4-5성급호텔,상관없음,펜션",오전 10시 이후,100만원 이하,"이 사용자는 그 외 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
86,꽤 민감,수용적,보통,매우 정확,따르는 편,2,둔감,보통,국내,바다,계획 여행,적당히 봄,코골이 함,기다림,"세계일주,그 외,일본","습함,상관없음,건조함","쇼핑,액티비티,미식","펜션,4-5성급호텔,에어비엔비",오전 9-10시,400만원 이상,"이 사용자는 세계일주 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 에어비엔비에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
87,매우 민감,매우 완고,많다,종종 늦음,따르는 편,2,꽤 민감,꽤 여유있게,해외,산,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"일본,세계일주,국내","추움,더움,상관없음","자연감상,사람&관계,휴식","에어비엔비,펜션,3성이하 호텔",오전 8-9시,200-300만원,"이 사용자는 국내 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
88,보통,매우 완고,매우 적다,꽤 정확,무조건 따름,3,꽤 민감,매우 여유있게,해외,산,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"유럽,세계일주,일본","더움,추움,습함","쇼핑,휴식,문화&역사체험","콘도,상관없음,펜션",오전 10시 이후,400만원 이상,"이 사용자는 세계일주 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
89,매우 민감,매우 완고,매우 적다,자주 늦음,무조건 리드,2,보통,꽤 여유있게,국내,바다,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"일본,세계일주,유럽","건조함,더움,습함","자연감상,쇼핑,기록","상관없음,콘도,3성이하 호텔",오전 10시 이후,200-300만원,"이 사용자는 일본 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
90,매우 민감,수용적,적다,매우 정확,리드하는편,1,매우 둔감,보통,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"국내,그 외,중국&몽골","더움,쌀쌀함,상관없음","사람&관계,미식,공연&경기관람","게스트하우스,3성이하 호텔,4-5성급호텔",오전 10시 이후,200-300만원,"이 사용자는 중국&몽골 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 미식이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
91,매우 둔감,수용적,많다,자주 늦음,리드하는편,4,보통,보통,국내,산,계획 여행,적당히 봄,코골이 안함,기다림,"세계일주,그 외,중국&몽골","쌀쌀함,추움,더움","휴식,도전과성장,액티비티","3성이하 호텔,상관없음,게스트하우스",오전 8-9시,200-300만원,"이 사용자는 중국&몽골 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
92,보통,매우 완고,적다,보통,무조건 리드,3,매우 둔감,꽤 여유있게,해외,바다,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"세계일주,일본,유럽","더움,추움,쌀쌀함","자연감상,휴식,쇼핑","에어비엔비,상관없음,민박",오전 10시 이후,100만원 이하,"이 사용자는 유럽 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
93,꽤 민감,수용적,많다,종종 늦음,따르는 편,3,매우 둔감,꽤 빡빡하게,국내,바다,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"국내,유럽,일본","상관없음,건조함,쌀쌀함","액티비티,사람&관계,도전과성장","민박,에어비엔비,상관없음",오전 9-10시,400만원 이상,"이 사용자는 유럽 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 민박에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
94,매우 둔감,매우 수용적,많다,꽤 정확,리드하는편,1,둔감,매우 여유있게,해외,산,즉흥 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,동남아,유럽","건조함,더움,상관없음","액티비티,사람&관계,공연&경기관람","민박,펜션,에어비엔비",오전 9-10시,200-300만원,"이 사용자는 동남아 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 민박에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
95,매우 민감,다소 완고,매우 많다,자주 늦음,보통,3,매우 둔감,매우 여유있게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"동남아,세계일주,국내","상관없음,더움,건조함","자연감상,공연&경기관람,미식","콘도,펜션,게스트하우스",오전 9-10시,200-300만원,"이 사용자는 동남아 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
96,꽤 민감,다소 완고,적다,자주 늦음,무조건 따름,5,매우 민감,꽤 빡빡하게,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"중국&몽골,세계일주,동남아","습함,쌀쌀함,추움","쇼핑,사람&관계,공연&경기관람","4-5성급호텔,3성이하 호텔,펜션",오전 9-10시,100만원 이하,"이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
97,둔감,수용적,적다,보통,보통,4,둔감,매우 빡빡하게,해외,바다,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"일본,그 외,동남아","습함,쌀쌀함,상관없음","사람&관계,쇼핑,미식","민박,에어비엔비,3성이하 호텔",오전 8-9시,200-300만원,"이 사용자는 그 외 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 민박에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
98,꽤 민감,매우 완고,보통,보통,무조건 따름,5,꽤 민감,꽤 여유있게,해외,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"미국,중국&몽골,세계일주","건조함,상관없음,쌀쌀함","도전과성장,휴식,자연감상","콘도,3성이하 호텔,에어비엔비",오전 10시 이후,100만원 이하,"이 사용자는 세계일주 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
99,매우 둔감,매우 완고,매우 적다,자주 늦음,무조건 리드,2,매우 둔감,매우 여유있게,국내,산,계획 여행,적당히 봄,코골이 안함,기다림,"일본,그 외,동남아","상관없음,추움,습함","공연&경기관람,쇼핑,사람&관계","상관없음,민박,3성이하 호텔",오전 8-9시,400만원 이상,"이 사용자는 동남아 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
100,꽤 민감,보통,많다,종종 늦음,리드하는편,3,꽤 민감,꽤 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 안함,기다림,"동남아,세계일주,미국","습함,추움,건조함","자연감상,문화&역사체험,기록","에어비엔비,펜션,4-5성급호텔",오전 9-10시,400만원 이상,"이 사용자는 미국 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
